"","latitude","longitude","year","education","memory","beta_l","beta_s","beta_p","reference_income","aspiration","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus","fuzzy_size"
"Ahaus",0,0,1959,13,5,0.45,0.65,0.87,930,0,0.1,0.15,0.7889,0.7333,0.7333,0.9,0.9,9
"Beckum",0,0,1959,11,5,0.52,0.63,0.65,935,0,0.1,0.12,0.7889,0.7333,0.7333,0.9,0.9,9
"Bruehl",0,0,1959,10,5,0.54,0.84,0.65,818,0,0.1,0.14,0.7889,0.7333,0.7333,0.9,0.9,8
"Hoevelhof",0,0,1959,9,5,0.56,0.54,0.74,758,0,0.1,0.11,0.7889,0.7333,0.7333,0.9,0.9,9
"Hopsten",0,0,1959,10,5,0.56,0.73,0.62,899,0,0.1,0.14,0.7889,0.7333,0.7333,0.9,0.9,6
"Lippetal",0,0,1959,13,5,0.54,0.85,0.78,804,0,0.1,0.14,0.7889,0.7333,0.7333,0.9,0.9,6
"Nottuln",0,0,1959,11,5,0.51,0.47,0.47,982,0,0.1,0.13,0.7889,0.7333,0.7333,0.9,0.9,6
"Ostbevern",0,0,1959,14,5,0.46,0.87,0.64,625,0,0.11,0.11,0.7889,0.7333,0.7333,0.9,0.9,6
"Greven",0,0,1959,9,5,0.53,0.87,0.64,802,0,0.1,0.13,0.7889,0.7333,0.7333,0.9,0.9,6
"Hamm",0,0,1959,12,5,0.6,0.7,0.9,728,0,0.1,0.15,0.7889,0.7333,0.7333,0.9,0.9,6
