,PChiselPlough,PMouldboardPlough,PPesticideSprayer,PHarrow,PHoe,PPrecisionDrill,PDirectDrill
spre1,0,0,0,0,0,0,190.38
spre2,352.17,0,0,0,0,119.74,0
spre3,704.34,0,0,0,0,119.74,0
spre4,352.17,1199.73,0,0,0,119.74,0
spre5,0,0,44.61,0,0,0,190.38
spre6,352.17,0,44.61,0,0,119.74,0
spost1,0,0,0,0,0,0,0
spost2,0,0,44.61,0,0,0,0
spost3,0,0,44.61,0,0,0,0
spost4,0,0,44.61,0,0,0,0
spost5,0,0,44.61,0,0,0,0
spost6,0,0,44.61,0,0,0,0
spost7,0,0,44.61,0,0,0,0
spost8,0,0,44.61,0,0,0,0
spost9,0,0,44.61,0,0,0,0
spost10,0,0,44.61,0,0,0,0
spost11,0,0,44.61,0,0,0,0
spost12,0,0,44.61,0,0,0,0
spost13,0,0,44.61,0,0,0,0
spost14,0,0,44.61,0,0,0,0
spost15,0,0,44.61,0,0,0,0
spost16,0,0,44.61,0,0,0,0
spost17,0,0,44.61,0,0,0,0
spost18,0,0,44.61,0,0,0,0
spost19,0,0,44.61,0,0,0,0
spost20,0,0,44.61,0,0,0,0
spost21,0,0,44.61,0,0,0,0
spost22,0,0,44.61,0,0,0,0
spost23,0,0,44.61,0,0,0,0
spost24,0,0,44.61,0,0,0,0
spost25,0,0,44.61,0,0,0,0
spost26,0,0,44.61,0,0,0,0
spost27,0,0,44.61,0,0,0,0
spost28,0,0,89.22,0,0,0,0
spost29,0,0,89.22,0,0,0,0
spost30,0,0,89.22,0,0,0,0
spost31,0,0,89.22,0,0,0,0
spost32,0,0,89.22,0,0,0,0
spost33,0,0,89.22,0,0,0,0
spost34,0,0,89.22,0,0,0,0
spost35,0,0,89.22,0,0,0,0
spost36,0,0,89.22,0,0,0,0
spost37,0,0,89.22,0,0,0,0
spost38,0,0,89.22,0,0,0,0
spost39,0,0,89.22,0,0,0,0
spost40,0,0,89.22,0,0,0,0
spost41,0,0,89.22,0,0,0,0
spost42,0,0,89.22,0,0,0,0
spost43,0,0,89.22,0,0,0,0
spost44,0,0,89.22,0,0,0,0
spost45,0,0,89.22,0,0,0,0
spost46,0,0,89.22,0,0,0,0
spost47,0,0,89.22,0,0,0,0
spost48,0,0,89.22,0,0,0,0
spost49,0,0,89.22,0,0,0,0
spost50,0,0,0,105.65,0,0,0
spost51,0,0,0,211.3,0,0,0
spost52,0,0,0,316.95,0,0,0
spost53,0,0,0,316.95,185.48,0,0
spost54,0,0,0,316.95,370.96,0,0
spost55,0,0,0,422.6,370.96,0,0
